"time","wheel.vT","wheel.wR","wheel.den","wheel.contactPoint_a.slip"
5.6,3.4032288213805395,10.397887357729712,3.4032288213805395,-0.08340979374595081
5.62,3.2395788079777224,9.897887357729697,3.2395788079777224,-0.08340979388845027
5.64,3.075928794628319,9.397887357729713,3.075928794628319,-0.0834097940620263
5.66,2.91227878118114,8.897887357729703,2.91227878118114,-0.08340979422433957
5.68,2.7486287674392793,8.397887357729715,2.7486287674392793,-0.08340979430771012
5.7,2.5849787535490125,7.897887357729705,2.5849787535490125,-0.08340979434901677
5.72,2.4213287394950376,7.3978873577297195,2.4213287394950376,-0.0834097943339328
5.74,2.257678725262021,6.897887357729713,2.257678725262021,-0.08340979424397586
5.76,2.0940287108346602,6.397887357729729,2.0940287108346602,-0.083409794054888
5.78,1.9303786963253098,5.897887357729717,1.9303786963253098,-0.08340979379481343
5.8,1.7667286820598165,5.397887357729732,1.7667286820598165,-0.08340979361306806
5.82,1.6030786678149151,4.897887357729724,1.6030786678149151,-0.08340979340599394
5.84,1.4394286536129821,4.397887357729737,1.4394286536129821,-0.0834097931791915
5.86,1.2757786394763633,3.8978873577297275,1.2757786394763633,-0.08340979294113401
5.88,1.1121286254274354,3.397887357729739,1.1121286254274354,-0.0834097927052831
5.9,0.9484786114752702,2.8978873577297204,0.9484786114752702,-0.08340979248156385
5.92,0.7848285975197592,2.397887357729732,0.7848285975197592,-0.08340979216062722
5.94,0.6211785836540511,1.8978873577297217,0.6211785836540511,-0.08340979180310908
5.96,0.4575285698916054,1.3978873577297335,0.4575285698916054,-0.0834097913966914
5.98,0.2938785562458529,0.8978873577297224,0.2938785562458529,-0.0834097909016188
6,0.1302285427302534,0.3978873577297335,0.1302285427302534,-0.08340979007829989
6.00000000000122,0.1302285427202678,0.39788735769922456,0.1302285427202678,-0.08340979007829974
6.00000000000122,0.1302285427202678,0.39788735769922456,0.1302285427202678,-0.08340979007829974
6.02,0.034765909380348244,0.1132425405315174,0.034765909380348244,-0.02281393569245627
6.04,0.009729996845865774,0.032229907943066474,0.009729996845865774,-0.00627178650851891
6.06,0.0027567588124026935,0.009172941624749215,0.0027567588124026935,-0.001768861663193196
6.08,7.836057719577382e-4,0.002610708245209337,7.836057719577382e-4,-5.019084966086015e-4
6.1,2.2294156888026065e-4,7.430332759278894e-4,2.2294156888026065e-4,-1.416788356361505e-4
6.12,6.344525402677839e-5,2.1147581262563717e-4,6.344525402677839e-5,-3.9565435204546444e-5
6.14,1.805637849249729e-5,6.0187231819701413e-5,1.805637849249729e-5,-1.1571898924983332e-5
6.16,5.138540426115828e-6,1.7128524339735455e-5,5.138557301920636e-6,3.284152305070842e-6
6.18,1.4630863206015704e-6,4.876958971685823e-6,1.4630876915057468e-6,9.369938551115323e-7
6.2,4.1588539907182446e-7,1.3865723304336582e-6,4.1597169913009744e-7,2.074661772746837e-4
6.22,1.185587871344867e-7,3.951959870667908e-7,1.1855879612003725e-7,7.578982618415077e-8
6.24,3.3751171042114446e-8,1.1250328445905718e-7,3.3751171042114446e-8,-5.502161600902944e-6
6.26,7.171360067977302e-9,3.252657653768972e-8,9.757972961306916e-9,0.2650768662289038
6.28,-1.721496530374978,9.108435075597966e-9,1.721496530374978,1.0000000015872994
6.3,-3.683496532643608,2.154607814944486e-9,3.683496532643608,1.0000000001754807
6.32,-5.645496533053067,4.179332225747369e-10,5.645496533053067,1.000000000022209
6.34,-7.607496533068456,1.823588331665147e-10,7.607496533068456,1.0000000000071911
6.36,-9.569496533029636,1.7123799710147838e-10,9.569496533029636,1.0000000000053684
6.38,-11.531496533044704,3.2474015773981373e-11,11.531496533044704,1.0000000000008449
6.4,-13.493496533083887,-7.28158488947824e-11,13.493496533083887,0.9999999999983811
6.42,-15.455496533117925,-8.941520900130287e-11,15.455496533117925,0.9999999999982644
6.44,-17.417496533142536,-8.999089977635618e-11,17.417496533142536,0.99999999999845
6.46,-19.379496533158747,-6.640802181166583e-11,19.379496533158747,0.9999999999989719
6.48,-21.341496533163934,-2.886115163690942e-11,21.341496533163934,0.9999999999995943
6.5,-23.30349653316814,9.228091145817358e-12,23.30349653316814,1
6.52,-25.2654965331721,3.709671294311203e-11,25.2654965331721,1
6.54,-27.227496533179053,4.3736907744120086e-11,27.227496533179053,1
6.56,-29.189496533189008,2.8643873283558574e-11,29.189496533189008,1
6.58,-31.15149653319098,3.205232584964539e-11,31.15149653319098,1
6.6,-33.113496533190855,3.24989567198239e-11,33.113496533190855,1
6.62,-35.07549653318867,3.069948435975953e-11,35.07549653318867,1
6.64,-37.0374965331841,2.7369627235117778e-11,37.0374965331841,1
6.66,-38.999496533177215,2.3225103811563734e-11,38.999496533177215,1
6.68,-40.961496533173154,1.7957203641221654e-11,40.961496533173154,1
6.7,-42.92349653317053,1.2555597411508546e-11,42.92349653317053,1
6.72,-44.88549653316905,7.732271284261993e-12,44.88549653316905,1
6.74,-46.847496533169334,4.0904254142660275e-12,46.847496533169334,1
6.76,-48.80949653317169,2.233259956305394e-12,48.80949653317169,1
6.78,-50.77149653317347,3.061121559594821e-14,50.77149653317347,1
6.8,-52.733496533172584,-3.823274500417936e-12,52.733496533172584,1
6.82,-54.695496533171394,-7.334010250226187e-12,54.695496533171394,1
6.84,-56.65749653316961,-1.0371166143039154e-11,56.65749653316961,0.999999999999945
6.86,-58.61949653316732,-1.2804312288067753e-11,58.61949653316732,0.9999999999999344
6.88,-60.58149653316423,-1.4503018794522429e-11,60.58149653316423,0.9999999999999282
6.9,-62.5434965331604,-1.5336855771613975e-11,62.5434965331604,0.9999999999999264
6.92,-64.50549653315558,-1.5175393328552985e-11,64.50549653315558,0.9999999999999295
6.94,-66.4674965331498,-1.3888201574550093e-11,66.4674965331498,0.9999999999999374
6.96,-68.42949653314281,-1.1344850618816065e-11,68.42949653314281,1
6.98,-70.39149653313466,-7.414910570561328e-12,70.39149653313466,1
7,-72.353496533129,-6.696944506327694e-12,72.353496533129,1
7.000000000001492,-72.35349653327539,-6.696944506341342e-12,72.35349653327539,1
7.000000000001492,-72.35349653327539,-6.696944506341342e-12,72.35349653327539,1
7.02,-74.31549653312896,-1.7347748997372046e-12,74.31549653312896,1
7.04,-76.27749653312902,-6.199977148558575e-15,76.27749653312902,1
7.06,-78.23949653312893,7.0269300170898e-13,78.23949653312893,1
7.08,-80.20149653312893,8.554892912896315e-13,80.20149653312893,1
7.1,-82.16349653312882,8.033553625256865e-13,82.16349653312882,1
7.12,-84.12549653312887,8.649302990228028e-13,84.12549653312887,1
7.14,-86.08749653312881,8.231871712349425e-13,86.08749653312881,1
7.16,-88.04949653312886,6.781259791621016e-13,88.04949653312886,1
7.18,-90.01149653312882,4.745037811181494e-13,90.01149653312882,1
7.2,-91.97349653312885,4.264652891220613e-13,91.97349653312885,1
7.22,-93.9354965331288,3.8021454915924407e-13,93.9354965331288,1
7.24,-95.89749653312882,3.357515612296937e-13,95.89749653312882,1
7.26,-97.85949653312875,2.93076325333414e-13,97.85949653312875,1
7.28,-99.82149653312875,2.5218884147040145e-13,99.82149653312875,1
